time,ip_address,packets_input,packets_output,packets_dropped
2023-06-04 00:00:05,67.176.52.206,904923,468040,29283
2023-06-04 00:02:05,67.176.52.206,945787,489653,29503
2023-06-04 00:04:05,67.176.52.206,946700,490443,29645
2023-06-04 00:06:04,67.176.52.206,947709,490981,29955
2023-06-04 00:08:05,67.176.52.206,949009,491753,30116
2023-06-04 00:10:04,67.176.52.206,949690,492228,30225
2023-06-04 00:12:05,67.176.52.206,950959,492900,30481
2023-06-04 00:14:04,67.176.52.206,951876,493562,30580
2023-06-04 00:16:05,67.176.52.206,953085,494270,30675
2023-06-04 00:18:05,67.176.52.206,954480,495189,30771
2023-06-04 00:20:04,67.176.52.206,955847,496143,30864
2023-06-04 00:22:05,67.176.52.206,957185,496903,30956
2023-06-04 00:24:04,67.176.52.206,957947,497457,31050
2023-06-04 00:26:05,67.176.52.206,958642,497953,31131
2023-06-04 00:28:04,67.176.52.206,960350,499157,31234
2023-06-04 00:30:05,67.176.52.206,961150,499752,31327
2023-06-04 00:32:05,67.176.52.206,962115,500442,31438
2023-06-04 00:34:05,67.176.52.206,962941,501001,31537
2023-06-04 00:36:05,67.176.52.206,963686,501546,31645
2023-06-04 00:38:04,67.176.52.206,964822,502266,31739
2023-06-04 00:40:05,67.176.52.206,965854,502769,31833
2023-06-04 00:42:04,67.176.52.206,966980,503491,31920
2023-06-04 00:44:05,67.176.52.206,967882,504063,32025
2023-06-04 00:46:04,67.176.52.206,975422,507706,32118
2023-06-04 00:48:05,67.176.52.206,980654,510930,32214
2023-06-04 00:50:05,67.176.52.206,982029,512051,32304
2023-06-04 00:52:05,67.176.52.206,986153,514605,32399
2023-06-04 00:54:05,67.176.52.206,987298,515472,32493
2023-06-04 00:56:04,67.176.52.206,1001897,519494,32591
2023-06-04 00:58:05,67.176.52.206,1008555,521008,32685
2023-06-04 01:00:04,67.176.52.206,1016362,525566,32890
2023-06-04 01:02:05,67.176.52.206,1017559,526486,32978
2023-06-04 01:04:04,67.176.52.206,1018623,527322,33083
2023-06-04 01:06:05,67.176.52.206,1020776,528654,33186
2023-06-04 01:08:05,67.176.52.206,1025529,530898,33281
2023-06-04 01:10:05,67.176.52.206,1027648,532230,33382
2023-06-04 01:12:05,67.176.52.206,1029929,533747,33493
2023-06-04 01:14:04,67.176.52.206,1031169,534738,33594
2023-06-04 01:16:05,67.176.52.206,1032323,535634,33688
2023-06-04 01:18:04,67.176.52.206,1033522,536530,33779
2023-06-04 01:20:05,67.176.52.206,1034420,537206,33887
2023-06-04 01:22:05,67.176.52.206,1035780,538193,33979
2023-06-04 01:24:05,67.176.52.206,1037207,539274,34069
2023-06-04 01:26:05,67.176.52.206,1038034,539866,34157
2023-06-04 01:28:05,67.176.52.206,1040209,541367,34255
2023-06-04 01:30:05,67.176.52.206,1047498,543178,34338
2023-06-04 01:32:04,67.176.52.206,1048499,543758,34433
2023-06-04 01:34:05,67.176.52.206,1050586,545284,34529
2023-06-04 01:36:04,67.176.52.206,1057263,548889,34697
2023-06-04 01:38:05,67.176.52.206,1058316,549599,34788
2023-06-04 01:40:05,67.176.52.206,1060063,550914,34876
2023-06-04 01:42:05,67.176.52.206,1061129,551566,34967
2023-06-04 01:44:05,67.176.52.206,1063812,553142,35062
2023-06-04 01:46:04,67.176.52.206,1064487,553741,35152
2023-06-04 01:48:05,67.176.52.206,1066805,555308,35249
2023-06-04 01:50:04,67.176.52.206,1067763,555959,35343
2023-06-04 01:52:05,67.176.52.206,1068664,556549,35428
2023-06-04 01:54:04,67.176.52.206,1069665,557189,35519
2023-06-04 01:56:05,67.176.52.206,1071288,558276,35602
2023-06-04 01:58:05,67.176.52.206,1072705,559184,35692
2023-06-04 02:00:05,67.176.52.206,1073399,559754,35785
2023-06-04 02:02:05,67.176.52.206,1075718,561377,35867
2023-06-04 02:04:04,67.176.52.206,1077119,562456,35971
2023-06-04 02:06:05,67.176.52.206,1078945,563720,36074
2023-06-04 02:08:04,67.176.52.206,1082947,566561,36171
2023-06-04 02:10:05,67.176.52.206,1087723,569821,36280
2023-06-04 02:12:04,67.176.52.206,1093112,572235,36393
2023-06-04 02:14:05,67.176.52.206,1093890,572760,36494
2023-06-04 02:16:05,67.176.52.206,1094527,573231,36626
2023-06-04 02:18:05,67.176.52.206,1094973,573624,36731
2023-06-04 02:20:05,67.176.52.206,1095738,573990,36825
2023-06-04 02:22:04,67.176.52.206,1097408,574888,36914
2023-06-04 02:24:05,67.176.52.206,1099570,575709,37002
2023-06-04 02:26:04,67.176.52.206,1100635,576283,37087
2023-06-04 02:28:05,67.176.52.206,1101096,576652,37183
2023-06-04 02:30:04,67.176.52.206,1101936,577134,37287
2023-06-04 02:32:05,67.176.52.206,1102564,577544,37375
2023-06-04 02:34:05,67.176.52.206,1103080,577957,37471
2023-06-04 02:36:05,67.176.52.206,1103683,578331,37574
2023-06-04 02:38:05,67.176.52.206,1104390,578735,37666
2023-06-04 02:40:04,67.176.52.206,1105115,579123,37747
2023-06-04 02:42:05,67.176.52.206,1105630,579471,37838
2023-06-04 02:44:04,67.176.52.206,1106367,579910,37921
2023-06-04 02:46:05,67.176.52.206,1106969,580276,38017
2023-06-04 02:48:05,67.176.52.206,1107697,580707,38113
2023-06-04 02:50:05,67.176.52.206,1138845,584857,38214
2023-06-04 02:52:05,67.176.52.206,1139597,585259,38304
